Ded Moroz #1;https://ipfs.infura.io/ipfs/QmbLR9VpdRKL6nb13BFJmDXYBjCdMvGyoP69VRdJoEZgP8;Limited;20;0.5;Christmas Mascots;
Ded Moroz #2;https://ipfs.infura.io/ipfs/QmZPiwDLeDaaPp5jatbDUAftxnNGrdEDomhDSLmk2ztB23;Rare;50;0.1;Christmas Mascots;
Ded Moroz #3;https://ipfs.infura.io/ipfs/QmeW9VoBpLUh2fHV4k6Dm8sgf5RTgmht1VGBGMLYb2GFbu;Special;100;0.05;Christmas Mascots;
Santa Claus #1;https://ipfs.infura.io/ipfs/QmbUZGXhmFSHMVW4iydeX1ps5HodtrUZ8QKnVna8d9DEyD;Epic;10;1;Christmas Mascots;
Santa Claus #2;https://ipfs.infura.io/ipfs/QmawEobzFvgo2zfdwpMCy4kNb6RyroE8jEKLJroQUqSVAY;Limited;20;0.5;Christmas Mascots;
Santa Claus #3;https://ipfs.infura.io/ipfs/QmVdCsDqSubFapVm2Df2tGux3sW5abUXw52FZ8m91wtwyN;Scarce;33;0.2;Christmas Mascots;
Grinch #1;https://ipfs.infura.io/ipfs/QmcQdmwxJxBdXo33kSBKiDXumURZkQnEh8hErkYxDq7RKd;Epic;10;1;Christmas Mascots;
Grinch #2;https://ipfs.infura.io/ipfs/QmVj9LUNpHBCHDZRoXX3nqvhPPjtcDLz7AqzpLAg3ssBAj;Limited;20;0.5;Christmas Mascots;
Grinch #3;https://ipfs.infura.io/ipfs/QmajaRS29Jcdoi9k2NLHCSiqdk4FzzTvPiFRYa3mhAKu5M;Scarce;33;0.2;Christmas Mascots;
Mikulas #1;https://ipfs.infura.io/ipfs/QmRgorNYL7JDyqC5uLm7n6MN2ETD1yXvBzuHGsc9tUzLEu;Limited;20;0.5;Christmas Mascots;
Mikulas #2;https://ipfs.infura.io/ipfs/QmWHu73LLZHXDP67epG9K6EM9tLevtzCP4j2iwv8RHXjQN;Rare;50;0.1;Christmas Mascots;
Mikulas #3;https://ipfs.infura.io/ipfs/QmPvy6YsCQFJtFtvAekucHHUD4iwTGAZoiH673zHMkePT3;Special;100;0.05;Christmas Mascots;
Christmas Elf #1;https://ipfs.infura.io/ipfs/QmUPikCFEBL4JCXY2eFqNd3pVnvVMRWFoE5rNwdwExNwSa;Epic;10;1;Christmas Mascots;
Christmas Elf #2;https://ipfs.infura.io/ipfs/QmTSZpYwkbufA1D6U3k4vTwGcbjKSVyZ7oX51LQdbEtbHi;Scarce;33;0.2;Christmas Mascots;
Christmas Elf #3;https://ipfs.infura.io/ipfs/QmT2qign8Mbz5M5f76PZLammbq1ncWHuww215dLaNtzsAi;Special;100;0.05;Christmas Mascots;
Nisse #1;https://ipfs.infura.io/ipfs/QmaoTHLBrigr3ULDyLYR64TC6vZGJcV7vWw3Q98cY35gTJ;Scarce;33;0.2;Christmas Mascots;
Nisse #2;https://ipfs.infura.io/ipfs/QmSkyac6URhEaXThyUmBEisSN4V5vBoz9yDsK48Y9Z9CKq;Rare;50;0.1;Christmas Mascots;
Nisse #3;https://ipfs.infura.io/ipfs/QmUTRX61dQo4WSrfTbK2g4Wj2k4xjxY89DEf9tmVd8XCzN;Special;100;0.05;Christmas Mascots;
Befana #1;https://ipfs.infura.io/ipfs/QmXA64jk4saB2xkMMsvWoVHGh2TUUD4d4CCgwy8x5SrfFa;Epic;10;1;Christmas Mascots;
Befana #2;https://ipfs.infura.io/ipfs/QmUPP342nv5Ufbu6JkZkvMGv6Qo6J3mUJnKeLAmLuk3E9z;Limited;20;0.5;Christmas Mascots;
Befana #3;https://ipfs.infura.io/ipfs/QmRMJhBegrMKUN8qKzetm5UP2q1r3bATv3zJZmkw289Zap;Scarce;33;0.2;Christmas Mascots;
Gingerbread Man #1;https://ipfs.infura.io/ipfs/QmaTKju4TPRoZmQQSQZLkoU2uup4M6zfEsoYpFUnP6T7ZF;Limited;20;0.5;Christmas Mascots;
Gingerbread Man #2;https://ipfs.infura.io/ipfs/QmRA1hygwJXwk7Cv93Bh1qUAGPu4F7ATb1N2YHi3RSs4f3;Scarce;33;0.2;Christmas Mascots;
Gingerbread Man #3;https://ipfs.infura.io/ipfs/Qma6P5m4auApvymyvvNsGmYwunAjJb9Jtyjm2pfp3dfXN8;Rare;50;0.1;Christmas Mascots;
Yule Lads #1;https://ipfs.infura.io/ipfs/QmS7R7aGLa9V8f5L6BrP9AFuCr9GkcpHKUPkecfNxyUnJU;Scarce;33;0.2;Christmas Mascots;
Yule Lads #2;https://ipfs.infura.io/ipfs/QmRYhm79jBMUQAfngk79VhUPiHD2wUosv1GcCibrzwJaAH;Rare;50;0.1;Christmas Mascots;
